timestamp,message,logStreamName
1722841524199,"START RequestId: ee287375-9ede-4bfd-bfca-61484d6b6bf1 Version: $LATEST
",2024/08/05/[$LATEST]3b0bbcf6d9b14fe0aeb53c720d1df6ea
1722841524202,"END RequestId: ee287375-9ede-4bfd-bfca-61484d6b6bf1
",2024/08/05/[$LATEST]3b0bbcf6d9b14fe0aeb53c720d1df6ea
1722841524202,"REPORT RequestId: ee287375-9ede-4bfd-bfca-61484d6b6bf1	Duration: 3.23 ms	Billed Duration: 4 ms	Memory Size: 3000 MB	Max Memory Used: 210 MB	
",2024/08/05/[$LATEST]3b0bbcf6d9b14fe0aeb53c720d1df6ea
1722841584262,"START RequestId: 809899f0-e7c5-4115-b627-43de9a2cc4ef Version: $LATEST
",2024/08/05/[$LATEST]3b0bbcf6d9b14fe0aeb53c720d1df6ea
1722841584265,"END RequestId: 809899f0-e7c5-4115-b627-43de9a2cc4ef
",2024/08/05/[$LATEST]3b0bbcf6d9b14fe0aeb53c720d1df6ea
1722841584265,"REPORT RequestId: 809899f0-e7c5-4115-b627-43de9a2cc4ef	Duration: 2.87 ms	Billed Duration: 3 ms	Memory Size: 3000 MB	Max Memory Used: 210 MB	
",2024/08/05/[$LATEST]3b0bbcf6d9b14fe0aeb53c720d1df6ea
1722841644299,"START RequestId: 6b89bf6f-eaf9-4116-921e-a3eebb7a12b7 Version: $LATEST
",2024/08/05/[$LATEST]3b0bbcf6d9b14fe0aeb53c720d1df6ea
1722841644302,"END RequestId: 6b89bf6f-eaf9-4116-921e-a3eebb7a12b7
",2024/08/05/[$LATEST]3b0bbcf6d9b14fe0aeb53c720d1df6ea
1722841644302,"REPORT RequestId: 6b89bf6f-eaf9-4116-921e-a3eebb7a12b7	Duration: 2.80 ms	Billed Duration: 3 ms	Memory Size: 3000 MB	Max Memory Used: 210 MB	
",2024/08/05/[$LATEST]3b0bbcf6d9b14fe0aeb53c720d1df6ea
1722841704172,"START RequestId: 2433cc5d-c3b2-41c4-850b-cb25b30cc9cf Version: $LATEST
",2024/08/05/[$LATEST]3b0bbcf6d9b14fe0aeb53c720d1df6ea
1722841704175,"END RequestId: 2433cc5d-c3b2-41c4-850b-cb25b30cc9cf
",2024/08/05/[$LATEST]3b0bbcf6d9b14fe0aeb53c720d1df6ea
1722841704175,"REPORT RequestId: 2433cc5d-c3b2-41c4-850b-cb25b30cc9cf	Duration: 2.77 ms	Billed Duration: 3 ms	Memory Size: 3000 MB	Max Memory Used: 210 MB	
",2024/08/05/[$LATEST]3b0bbcf6d9b14fe0aeb53c720d1df6ea
1722841764336,"START RequestId: 5ed78b6f-2699-4eba-8ea4-511d4bc98248 Version: $LATEST
",2024/08/05/[$LATEST]3b0bbcf6d9b14fe0aeb53c720d1df6ea
1722841764338,"END RequestId: 5ed78b6f-2699-4eba-8ea4-511d4bc98248
",2024/08/05/[$LATEST]3b0bbcf6d9b14fe0aeb53c720d1df6ea
1722841764338,"REPORT RequestId: 5ed78b6f-2699-4eba-8ea4-511d4bc98248	Duration: 2.87 ms	Billed Duration: 3 ms	Memory Size: 3000 MB	Max Memory Used: 210 MB	
",2024/08/05/[$LATEST]3b0bbcf6d9b14fe0aeb53c720d1df6ea
1722841824533,"START RequestId: e7225063-cbd7-45b9-96d3-8c50500af4c5 Version: $LATEST
",2024/08/05/[$LATEST]3b0bbcf6d9b14fe0aeb53c720d1df6ea
1722841824535,"END RequestId: e7225063-cbd7-45b9-96d3-8c50500af4c5
",2024/08/05/[$LATEST]3b0bbcf6d9b14fe0aeb53c720d1df6ea
1722841824535,"REPORT RequestId: e7225063-cbd7-45b9-96d3-8c50500af4c5	Duration: 2.69 ms	Billed Duration: 3 ms	Memory Size: 3000 MB	Max Memory Used: 210 MB	
",2024/08/05/[$LATEST]3b0bbcf6d9b14fe0aeb53c720d1df6ea
1722841884196,"START RequestId: 145276c2-7079-4d53-a3dc-0e8d305ec295 Version: $LATEST
",2024/08/05/[$LATEST]3b0bbcf6d9b14fe0aeb53c720d1df6ea
1722841884198,"END RequestId: 145276c2-7079-4d53-a3dc-0e8d305ec295
",2024/08/05/[$LATEST]3b0bbcf6d9b14fe0aeb53c720d1df6ea
1722841884198,"REPORT RequestId: 145276c2-7079-4d53-a3dc-0e8d305ec295	Duration: 2.68 ms	Billed Duration: 3 ms	Memory Size: 3000 MB	Max Memory Used: 210 MB	
",2024/08/05/[$LATEST]3b0bbcf6d9b14fe0aeb53c720d1df6ea
1722841944264,"START RequestId: 498eaf04-d549-4673-87ce-dc7807cee433 Version: $LATEST
",2024/08/05/[$LATEST]3b0bbcf6d9b14fe0aeb53c720d1df6ea
1722841944267,"END RequestId: 498eaf04-d549-4673-87ce-dc7807cee433
",2024/08/05/[$LATEST]3b0bbcf6d9b14fe0aeb53c720d1df6ea
1722841944267,"REPORT RequestId: 498eaf04-d549-4673-87ce-dc7807cee433	Duration: 2.83 ms	Billed Duration: 3 ms	Memory Size: 3000 MB	Max Memory Used: 210 MB	
",2024/08/05/[$LATEST]3b0bbcf6d9b14fe0aeb53c720d1df6ea
1722842004401,"START RequestId: 44f5f8fd-bc74-47c4-a3a1-b64f8e4f274d Version: $LATEST
",2024/08/05/[$LATEST]3b0bbcf6d9b14fe0aeb53c720d1df6ea
1722842004404,"END RequestId: 44f5f8fd-bc74-47c4-a3a1-b64f8e4f274d
",2024/08/05/[$LATEST]3b0bbcf6d9b14fe0aeb53c720d1df6ea
1722842004404,"REPORT RequestId: 44f5f8fd-bc74-47c4-a3a1-b64f8e4f274d	Duration: 2.90 ms	Billed Duration: 3 ms	Memory Size: 3000 MB	Max Memory Used: 210 MB	
",2024/08/05/[$LATEST]3b0bbcf6d9b14fe0aeb53c720d1df6ea
1722842064192,"START RequestId: c608e8d5-dc6e-44bc-aa93-fa6dc0543b85 Version: $LATEST
",2024/08/05/[$LATEST]3b0bbcf6d9b14fe0aeb53c720d1df6ea
1722842064196,"END RequestId: c608e8d5-dc6e-44bc-aa93-fa6dc0543b85
",2024/08/05/[$LATEST]3b0bbcf6d9b14fe0aeb53c720d1df6ea
1722842064196,"REPORT RequestId: c608e8d5-dc6e-44bc-aa93-fa6dc0543b85	Duration: 3.44 ms	Billed Duration: 4 ms	Memory Size: 3000 MB	Max Memory Used: 210 MB	
",2024/08/05/[$LATEST]3b0bbcf6d9b14fe0aeb53c720d1df6ea
1722842124213,"START RequestId: 00876901-67c8-475e-967c-3cc15d52bbcf Version: $LATEST
",2024/08/05/[$LATEST]3b0bbcf6d9b14fe0aeb53c720d1df6ea
1722842124216,"END RequestId: 00876901-67c8-475e-967c-3cc15d52bbcf
",2024/08/05/[$LATEST]3b0bbcf6d9b14fe0aeb53c720d1df6ea
1722842124216,"REPORT RequestId: 00876901-67c8-475e-967c-3cc15d52bbcf	Duration: 3.08 ms	Billed Duration: 4 ms	Memory Size: 3000 MB	Max Memory Used: 210 MB	
",2024/08/05/[$LATEST]3b0bbcf6d9b14fe0aeb53c720d1df6ea
1722842184311,"START RequestId: 3c312cda-460b-4aff-a92e-98cf4a983ea2 Version: $LATEST
",2024/08/05/[$LATEST]3b0bbcf6d9b14fe0aeb53c720d1df6ea
1722842184314,"END RequestId: 3c312cda-460b-4aff-a92e-98cf4a983ea2
",2024/08/05/[$LATEST]3b0bbcf6d9b14fe0aeb53c720d1df6ea
1722842184314,"REPORT RequestId: 3c312cda-460b-4aff-a92e-98cf4a983ea2	Duration: 2.66 ms	Billed Duration: 3 ms	Memory Size: 3000 MB	Max Memory Used: 210 MB	
",2024/08/05/[$LATEST]3b0bbcf6d9b14fe0aeb53c720d1df6ea
1722842244533,"START RequestId: 667de132-6af5-4817-ac1c-afb4ccc02c47 Version: $LATEST
",2024/08/05/[$LATEST]3b0bbcf6d9b14fe0aeb53c720d1df6ea
1722842244536,"END RequestId: 667de132-6af5-4817-ac1c-afb4ccc02c47
",2024/08/05/[$LATEST]3b0bbcf6d9b14fe0aeb53c720d1df6ea
1722842244536,"REPORT RequestId: 667de132-6af5-4817-ac1c-afb4ccc02c47	Duration: 2.81 ms	Billed Duration: 3 ms	Memory Size: 3000 MB	Max Memory Used: 210 MB	
",2024/08/05/[$LATEST]3b0bbcf6d9b14fe0aeb53c720d1df6ea
1722842304411,"START RequestId: 68f5bd5b-d934-416f-808f-6a22ba17b9ce Version: $LATEST
",2024/08/05/[$LATEST]3b0bbcf6d9b14fe0aeb53c720d1df6ea
1722842304414,"END RequestId: 68f5bd5b-d934-416f-808f-6a22ba17b9ce
",2024/08/05/[$LATEST]3b0bbcf6d9b14fe0aeb53c720d1df6ea
1722842304414,"REPORT RequestId: 68f5bd5b-d934-416f-808f-6a22ba17b9ce	Duration: 2.84 ms	Billed Duration: 3 ms	Memory Size: 3000 MB	Max Memory Used: 210 MB	
",2024/08/05/[$LATEST]3b0bbcf6d9b14fe0aeb53c720d1df6ea
1722842364236,"START RequestId: 6f1c94bd-9f92-4b82-bff3-395ee6c8508b Version: $LATEST
",2024/08/05/[$LATEST]3b0bbcf6d9b14fe0aeb53c720d1df6ea
1722842364239,"END RequestId: 6f1c94bd-9f92-4b82-bff3-395ee6c8508b
",2024/08/05/[$LATEST]3b0bbcf6d9b14fe0aeb53c720d1df6ea
1722842364239,"REPORT RequestId: 6f1c94bd-9f92-4b82-bff3-395ee6c8508b	Duration: 2.81 ms	Billed Duration: 3 ms	Memory Size: 3000 MB	Max Memory Used: 210 MB	
",2024/08/05/[$LATEST]3b0bbcf6d9b14fe0aeb53c720d1df6ea
1722842424504,"START RequestId: fd283892-3aa7-4696-bc7f-8b20aa755e63 Version: $LATEST
",2024/08/05/[$LATEST]3b0bbcf6d9b14fe0aeb53c720d1df6ea
1722842424507,"END RequestId: fd283892-3aa7-4696-bc7f-8b20aa755e63
",2024/08/05/[$LATEST]3b0bbcf6d9b14fe0aeb53c720d1df6ea
1722842424507,"REPORT RequestId: fd283892-3aa7-4696-bc7f-8b20aa755e63	Duration: 2.69 ms	Billed Duration: 3 ms	Memory Size: 3000 MB	Max Memory Used: 210 MB	
",2024/08/05/[$LATEST]3b0bbcf6d9b14fe0aeb53c720d1df6ea
1722842484175,"START RequestId: 844a11fe-75c6-41f7-a217-844e328ee57e Version: $LATEST
",2024/08/05/[$LATEST]3b0bbcf6d9b14fe0aeb53c720d1df6ea
1722842484178,"END RequestId: 844a11fe-75c6-41f7-a217-844e328ee57e
",2024/08/05/[$LATEST]3b0bbcf6d9b14fe0aeb53c720d1df6ea
1722842484178,"REPORT RequestId: 844a11fe-75c6-41f7-a217-844e328ee57e	Duration: 2.66 ms	Billed Duration: 3 ms	Memory Size: 3000 MB	Max Memory Used: 210 MB	
",2024/08/05/[$LATEST]3b0bbcf6d9b14fe0aeb53c720d1df6ea
1722842544287,"START RequestId: b473843c-a082-42d0-9b54-1457fd3c5e98 Version: $LATEST
",2024/08/05/[$LATEST]3b0bbcf6d9b14fe0aeb53c720d1df6ea
1722842544290,"END RequestId: b473843c-a082-42d0-9b54-1457fd3c5e98
",2024/08/05/[$LATEST]3b0bbcf6d9b14fe0aeb53c720d1df6ea
1722842544290,"REPORT RequestId: b473843c-a082-42d0-9b54-1457fd3c5e98	Duration: 2.87 ms	Billed Duration: 3 ms	Memory Size: 3000 MB	Max Memory Used: 210 MB	
",2024/08/05/[$LATEST]3b0bbcf6d9b14fe0aeb53c720d1df6ea
1722842604324,"START RequestId: 4dc7d8e7-8598-4b9b-ad15-99f346e3c253 Version: $LATEST
",2024/08/05/[$LATEST]3b0bbcf6d9b14fe0aeb53c720d1df6ea
1722842604328,"END RequestId: 4dc7d8e7-8598-4b9b-ad15-99f346e3c253
",2024/08/05/[$LATEST]3b0bbcf6d9b14fe0aeb53c720d1df6ea
1722842604328,"REPORT RequestId: 4dc7d8e7-8598-4b9b-ad15-99f346e3c253	Duration: 3.78 ms	Billed Duration: 4 ms	Memory Size: 3000 MB	Max Memory Used: 210 MB	
",2024/08/05/[$LATEST]3b0bbcf6d9b14fe0aeb53c720d1df6ea
1722842664178,"START RequestId: a364bc7c-deea-46f7-945b-24b0e467b2b1 Version: $LATEST
",2024/08/05/[$LATEST]3b0bbcf6d9b14fe0aeb53c720d1df6ea
1722842664181,"END RequestId: a364bc7c-deea-46f7-945b-24b0e467b2b1
",2024/08/05/[$LATEST]3b0bbcf6d9b14fe0aeb53c720d1df6ea
1722842664181,"REPORT RequestId: a364bc7c-deea-46f7-945b-24b0e467b2b1	Duration: 2.76 ms	Billed Duration: 3 ms	Memory Size: 3000 MB	Max Memory Used: 210 MB	
",2024/08/05/[$LATEST]3b0bbcf6d9b14fe0aeb53c720d1df6ea
1722842724257,"START RequestId: 5c3302db-b20d-44f0-9b80-6f6a4eb34de4 Version: $LATEST
",2024/08/05/[$LATEST]3b0bbcf6d9b14fe0aeb53c720d1df6ea
1722842724260,"END RequestId: 5c3302db-b20d-44f0-9b80-6f6a4eb34de4
",2024/08/05/[$LATEST]3b0bbcf6d9b14fe0aeb53c720d1df6ea
1722842724260,"REPORT RequestId: 5c3302db-b20d-44f0-9b80-6f6a4eb34de4	Duration: 2.68 ms	Billed Duration: 3 ms	Memory Size: 3000 MB	Max Memory Used: 210 MB	
",2024/08/05/[$LATEST]3b0bbcf6d9b14fe0aeb53c720d1df6ea
1722842784278,"START RequestId: 67cdf6b9-e505-4d8e-bed1-3221d713b290 Version: $LATEST
",2024/08/05/[$LATEST]3b0bbcf6d9b14fe0aeb53c720d1df6ea
